Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
All About My Mother,2013.0,1999,Part of every woman is a mother/actress/saint/sinner. And part of every man is a woman.,"Comedy, Drama",Pedro Almodóvar,/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg,"""Part of every woman is a mother/actress/saint/sinner. And part of every man is a woman.""","drug abuse, barcelona, spain, transvestism, transplantation, madrid, spain, transsexuality, birthday, autograph, friends, lgbt, melodrama"
"Lock, Stock and Two Smoking Barrels",7003.0,1998,A Disgrace to Criminals Everywhere.,"Comedy, Crime",Guy Ritchie,/6pJB2t3MbQUy9m5pFIBHXLqnqNd.jpg,"""A Disgrace to Criminals Everywhere.""","ambush, joint, alcohol, shotgun, tea, machismo, rifle, cocktail, pot smoking, marijuana, hatchet, antique, cardsharp, anger, carjacking, piano, strip show, high stakes"
Léon: The Professional,15725.0,1994,"If you want the job done right, hire a professional.","Crime, Drama, Action",Luc Besson,/bxB2q91nKYp8JNzqE7t7TWBVupB.jpg,"""If you want the job done right, hire a professional.""","hotel room, new york city, immigrant, assassin, police brutality, corruption, s.w.a.t., hitman, loss of loved one, training, revenge, murder, loneliness, neighbor, tragic love, city life, neo-noir, complex relationship"
Taxi Driver,13112.0,1976,"On every street in every city in this country, there's a nobody who dreams of being somebody. He's a lonely forgotten man desperate to prove that he's alive.","Crime, Drama",Martin Scorsese,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"""On every street in every city in this country, there's a nobody who dreams of being somebody. He's a lonely forgotten man desperate to prove that he's alive.""","drug dealer, vietnam veteran, new york city, taxi, pornography, obsession, taxi driver, pimp, firearm, politician, alienation, junk food, misanthrophy, vigilante, illegal prostitution, character study, loner, manhattan, new york city, neo-noir, child prostitution, new hollywood, drives"
Run Lola Run,2461.0,1998,Every second of every day you're faced with a decision that can change your life.,"Action, Drama, Thriller",Tom Tykwer,/v0giIi4bTILVhNhJajet3WWY3FA.jpg,"""Every second of every day you're faced with a decision that can change your life.""","daughter, race against time, berlin, germany, homeless person, casino, red hair, nun, supermarket, ambulance, subway, money, fate, time loop"
Back to the Future,21313.0,1985,He was never in time for his classes... He wasn't in time for his dinner... Then one day... he wasn't in his time at all.,"Adventure, Comedy, Science Fiction",Robert Zemeckis,/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,"""He was never in time for his classes... He wasn't in time for his dinner... Then one day... he wasn't in his time at all.""","flying car, race against time, clock tower, car race, lightning, guitar, plutonium, inventor, journey in the past, invention, time travel, bullying, mad scientist, fish out of water, terrorism, teenage love, destiny, hidden identity, love and romance, teenage life, changing the past or future, 1950s, tiempo, amused"
Predator,8785.0,1987,Soon the hunt will begin.,"Science Fiction, Action, Adventure, Thriller",John McTiernan,/k3mW4qfJo6SKqe6laRyNGnbB9n5.jpg,"""Soon the hunt will begin.""","guerrilla warfare, central and south america, predator, trap, alien, survival, stalking, creature, alien invasion, invisible, commando, violence"
Snatch,9686.0,2000,Stealin' stones and breakin' bones.,"Crime, Comedy",Guy Ritchie,/kJZoAHq1SLDdWjeNGtlHAnGpmFV.jpg,"""Stealin' stones and breakin' bones.""","robbery, trailer park, england, gypsy, gambling, bare knuckle boxing, slang, antwerp, pig, gangster, boxer, underground fighting, diamond heist, pikey"
Three Colors: Blue,1835.0,1993,,Drama,Krzysztof Kieślowski,/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg,"""nan""","paris, france, composer, pain, to compose, loss of loved one"
Scarface,12683.0,1983,He loved the American Dream. With a vengeance.,"Action, Crime, Drama",Brian De Palma,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,"""He loved the American Dream. With a vengeance.""","chicago, illinois, sibling relationship, based on novel or book, police, prohibition era, alcohol, gangster, gang war, beer, ambition, film noir, murder, mobster, black and white, pre-code"
